Device,Software,Version,Type,Approval,Installed On,Scanner,Scanner Version,Credentialed?
WKS6-SOTERIA,Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211,14.44.35211,OS,,2025/07/25,ACAS / Nessus,10.10.1.202603030606,True
WKS6-SOTERIA,Microsoft Visual C++ 2022 X86 Additional Runtime - 14.44.35211,14.44.35211,OS,,2025/07/25,ACAS / Nessus,10.10.1.202603030606,True
WKS6-SOTERIA,Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.44.35211,14.44.35211,OS,,2025/07/25,ACAS / Nessus,10.10.1.202603030606,True
WKS7-SOTERIA,Adobe Refresh Manager,1.8.0,OS,,2025/05/05,ACAS / Nessus,10.10.1.202603030606,True
WKS7-SOTERIA,Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211,14.44.35211.0,OS,,,ACAS / Nessus,10.10.1.202603030606,True
WKS7-SOTERIA,Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211,14.44.35211.0,OS,,,ACAS / Nessus,10.10.1.202603030606,True
WKS7-SOTERIA,Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211,14.44.35211,OS,,2025/07/25,ACAS / Nessus,10.10.1.202603030606,True
WKS7-SOTERIA,Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211,14.44.35211,OS,,2025/07/25,ACAS / Nessus,10.10.1.202603030606,True
WKS7-SOTERIA,Microsoft Visual C++ 2022 X86 Additional Runtime - 14.44.35211,14.44.35211,OS,,2025/07/25,ACAS / Nessus,10.10.1.202603030606,True
WKS7-SOTERIA,Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.44.35211,14.44.35211,OS,,2025/07/25,ACAS / Nessus,10.10.1.202603030606,True
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
